Reg. #,Brand,Generic,Form,Packing,Size,Manufacturer_ID
389,DIJEX MP MIXED FRUIT,"Aluminium Hydroxide and Oxide [215 mg/5ml], Magnesium Oxides and Hydroxides [80 mg/5ml], Simethicone [25 mg/5ml]",Susp,228ml,1,2
18144,DOBUTAMINE,Dobutamine (HCl) [12.5 mg/ml],Inj,20ml,1,2
8159,DOPAMINE,Dopamine (HCl) [80 mg/ml],Inj,10ml,1,2
8158,DOPAMINE,Dopamine (HCl) [40 mg/ml],Inj,5ml,1,2
6655,DUPHALAC,Lactulose [3.35 g/5ml],Syrup,120ml,1,2
6655,DUPHALAC,Lactulose [3.35 g/5ml],Syrup,240ml,1,2
10174,ENOXABID,Enoxacin [400 mg],Tabs,2x10s,20,2
10174,ENOXABID,Enoxacin [400 mg],Tabs,10s,10,2
,ENSURE BANANA, ,Powder,400g,1,2
,ENSURE CHOCOLATE, ,Powder,400g,1,2
,ENSURE CHOCOLATE, ,Powder,1kg,1,2
,ENSURE PLUS, ,Powder,250ml,1,2
,ENSURE STRAWBERRY, ,Powder,400g,1,2
,ENSURE VANILLA, ,Powder,1kg,1,2
,ENSURE VANILLA, ,Powder,180kg,1,2
239,ENSURE VANILLA, ,Powder,400g,1,2
 ,ENTAMIZOLE,"Diloxanide (Furoate) [125 mg/5ml], Metronidazole [100 mg/5ml]",Susp,90ml,1,2
8162,ENTAMIZOLE,"Diloxanide (Furoate) [500 mg], Metronidazole [400 mg]",Tabs,15s,15,2
 ,ENTAMIZOLE,"Diloxanide (Furoate) [125 mg/5ml], Metronidazole [100 mg/5ml]",Susp,60ml,1,2
6022,ENTAMIZOLE,"Diloxanide (Furoate) [250 mg], Metronidazole [200 mg]",Tabs,3x10s,30,2
23349,EPIVAL,Sodium Valproate [500 mg],Inj-IV,5ml,1,2
12079,EPIVAL,Sodium Valproate [250 mg/5ml],Syrup,60ml,1,2
7160,EPIVAL,Sodium Valproate [250 mg],Tabs,10x10s,100,2
7161,EPIVAL,Sodium Valproate [500 mg],Tabs,10x10s,100,2
12079,EPIVAL,Sodium Valproate [250 mg/5ml],Syrup,120ml,1,2
7160,EPIVAL,Sodium Valproate [250 mg],Tabs,10s,10,2
7161,EPIVAL,Sodium Valproate [500 mg],Tabs,10x10 s,100,2
22481,EPIVAL-CR,Sodium Valproate [500 mg],Tabs,10s,10,2
22481,EPIVAL-CR,Sodium Valproate [500 mg],Tabs,5x10s,50,2
8219,ETHRANE,Enflurane [0 0],Liquid,250ml,1,2
11469,FAVERIN,Fluvoxamine (Maleate) [100 mg],Tabs,10s,10,2
11469,FAVERIN,Fluvoxamine (Maleate) [100 mg],Tabs,30s,30,2
11468,FAVERIN,Fluvoxamine (Maleate) [50 mg],Tabs,60s,60,2
19420,FEMOSTON,"Dydrogesterone [10 mg], Estradiol. [2 mg]",Tabs,28s,28,2
81,FENOX,Phenylephrine (HCl) [0.5 %w/v],Nasal Drops,20ml,1,2
11358,FLEXIN,Naproxen [250 mg],Tabs,2x10s,20,2
11359,FLEXIN,Naproxen [500 mg],Tabs,2x10s,20,2
11081,FORANE,Isoflurane [99.9 %w/v],Liquid,100ml,1,2
,FORMANCE, ,Powder,300g,1,2
25533,FROBEN,Flurbiprofen [5 %w/w],Gel,50g,1,2
9192,FROBEN,Flurbiprofen [200 mg],Caps SR,3x10s,30,2
5888,FROBEN,Flurbiprofen [50 mg],Tabs,3x10s,30,2
6904,FROBEN,Flurbiprofen [100 mg],Tabs,3x10s,30,2
25533,FROBEN,Flurbiprofen [5 %w/w],Gel,20g,1,2
9828,FRUSINOX,Frusemide or Furosemide [40 mg],Tabs,10x10s,100,2
,GAIN PLUS SMART CHOICE, ,Powder,400g,1,2
28429,GANATON,Itopride (HCl) [50 mg],Tabs,30s,30,2
28429,GANATON,Itopride (HCl) [50 mg],Tabs,10s,10,2
 ,GANATON XR,Itopride (HCl) [150 mg],Tabs,10s,10,2
,GLUCERNA SR, ,Powder,400g,1,2
,GLUCERNA SR, ,Powder,250ml,1,2
25235,GOPTEN,Trandolapril [0.5 mg],Tabs,10s,10,2
25237,GOPTEN,Trandolapril [2 mg],Tabs,10s,10,2
14400,HYTRIN,Terazosin [1 mg],Tabs,3x10s,30,2
10575,HYTRIN,Terazosin [2 mg],Tabs,3x10s,30,2
15017,HYTRIN,Terazosin [5 mg],Tabs,3x10s,30,2
9879,IBERET,Ferrous Sulphate [125 mg/ml],Drops,10ml,1,2
1513,IBERET 500 GRADUMET,"Ascorbic Acid [500 mg], Calcium Pantothenate [10 mg], Cyanocobalamin [25 mcg], Ferrous Sulphate [525 mg], Nicotinamide [30 mg], Pyridoxine [5 mg], Riboflavin (Vitamin B2) [6 mg], Thiamine HCl (Vitamin B1) [6 mg]",Tabs,20s,20,2
1513,IBERET 500 GRADUMET,"Ascorbic Acid [500 mg], Calcium Pantothenate [10 mg], Cyanocobalamin [25 mcg], Ferrous Sulphate [525 mg], Nicotinamide [30 mg], Pyridoxine [5 mg], Riboflavin (Vitamin B2) [6 mg], Thiamine HCl (Vitamin B1) [6 mg]",Tabs,30s,30,2
6441,IBERET FOLIC-500 GRADUMET,"Ascorbic Acid [500 mg], Calcium Pantothenate [10 mg], Cyanocobalamin [25 mcg], Ferrous Sulphate [525 mg], Folic Acid [0.8 mg], Nicotinamide [30 mg], Pyridoxine [5 mg], Riboflavin (Vitamin B2) [6 mg], Thiamine HCl (Vitamin B1) [6 mg]",Tabs,30s,30,2
6441,IBERET FOLIC-500 GRADUMET,"Ascorbic Acid [500 mg], Calcium Pantothenate [10 mg], Cyanocobalamin [25 mcg], Ferrous Sulphate [525 mg], Folic Acid [0.8 mg], Nicotinamide [30 mg], Pyridoxine [5 mg], Riboflavin (Vitamin B2) [6 mg], Thiamine HCl (Vitamin B1) [6 mg]",Tabs,20s,20,2
50,IBERET-500,"Ascorbic Acid [125 mg/5ml], Cyanocobalamin [6.25 mcg/5ml], D-Pantothenol [2.5 mg/5ml], Ferrous Sulphate [131 mg/5ml], Nicotinamide [7.5 mg/5ml], Pyridoxine [1.5 mg/5ml], Riboflavin (Vitamin B2) [1.5 mg/5ml], Thiamine HCl (Vitamin B1) [1.5 mg/5ml]",Liquid,120ml,1,2
50,IBERET-500,"Ascorbic Acid [125 mg/5ml], Cyanocobalamin [6.25 mcg/5ml], D-Pantothenol [2.5 mg/5ml], Ferrous Sulphate [131 mg/5ml], Nicotinamide [7.5 mg/5ml], Pyridoxine [1.5 mg/5ml], Riboflavin (Vitamin B2) [1.5 mg/5ml], Thiamine HCl (Vitamin B1) [1.5 mg/5ml]",Liquid,60ml,1,2
53,IBEROL-F,"Ascorbic Acid [75 mg], Calcium Pantothenate [2 mg], Cyanocobalamin [12.5 mcg], Ferrous Sulphate [525 mg], Folic Acid [1 mg], Nicotinamide [15 mg], Pyridoxine [1.5 mg], Riboflavin (Vitamin B2) [3 mg], Thiamine HCl (Vitamin B1) [3 mg]",Tabs,25s,25,2
15532,ISOMIL,Multiple Vitamins [0 ],Powder,400g,1,2
15532,ISOMIL,Multiple Vitamins [0 ],Powder,125g,1,2
15532,ISOMIL,Multiple Vitamins [0 ],Powder,26.4gx5s,5,2
5407,ISOPTIN,Verapamil (HCl) [2.5 mg/ml],Inj,2mlx5s,5,2
21592,ISOPTIN,Verapamil (HCl) [40 mg],Tabs,5x10s,50,2
21593,ISOPTIN,Verapamil (HCl) [80 mg],Tabs,5x10s,50,2
21594,ISOPTIN,Verapamil (HCl) [240 mg],Tabs SR,10s,10,2
28428,KALETRA,"Lopinovir [133.3 mg], Ritonavir [33.3 mg]",Caps,180s,180,2
55,KALTIN,"Kaolin [5.832 g/30ml], Pectin [0.13 g/30ml]",Susp,120ml,1,2
15104,KLARICID,Clarithromycin [125 mg/5ml],Susp,60ml,1,2
13149,KLARICID,Clarithromycin [250 mg],Tabs,10s,10,2
18145,KLARICID,Clarithromycin [500 mg],Tabs,10s,10,2
15104,KLARICID,Clarithromycin [125 mg/5ml],Susp,30ml,1,2
76148,KLARICID,Clarithromycin [250 mg/5ml],Susp,60ml,1,2
18142,KLARICID-I.V,Clarithromycin [500 mg],Inf,Vial,1,2
20203,KLARICID-XL,Clarithromycin [500 mg],Tabs,5s,5,2
20203,KLARICID-XL,Clarithromycin [500 mg],Tabs,2x7s,14,2
1544,LIGNOCAINE COMPOUND,"Allantoin [0.5 %w/w], Ephedrine [0.25 %w/w], Lignocaine [0.5 %w/w]",Oint,30g,1,2
12077,LINCOMYCIN,Lincomycin (HCl) [300 mg],Inj,1mlx5s,5,2
12078,LINCOMYCIN,Lincomycin (HCl) [600 mg],Inj,2mlx1s,1,2
9521,LIPOSYN II 20%,"Glycine [20 %w/v], Soyabean Oil [20 %w/v]",Inf,200ml,1,2
25293,LUCRIN DEPOT,Leuprolide (Acetate) [3.75 mg],Inj,1s,1,2
32145,LUCRIN DEPOT,Leuprolide (Acetate) [11.25 mg],Inj,1s,1,2
6050,MAMMOL,"Bismuth Salts [40 %w/w], Castor Oil [30 %w/w]",Oint,15g,1,2
 ,MOKSI,Moxifloxacin [400 mg],Tabs,5s,5,2
,MOSPEL, ,Lotion,25ml,1,2
,MOSPEL, ,Lotion,50ml,1,2
17693,MUCOLATOR,Acetylcysteine [200 mg/sachet],Granules,3gx30s,30,2
,MURINE CLEAR EYES,Naphazoline [0.012 %w/v],Eye Drops,15ml,1,2
,MURINE PLUS,Tetrahydrozoline (HCl) [0.05 %w/v],Eye Drops,15ml,1,2
25527,NEOPHAGE,Metformin (HCl) [850 mg],Tabs,3x10s,30,2
25526,NEOPHAGE,Metformin (HCl) [500 mg],Tabs,5x10s,50,2
16869,NICOR,"Diphenhydramine [1.665 mg/5ml], Paracetamol [100 mg/5ml], Pholcodine [1.665 mg/5ml], Pseudoephedrine (HCl) [6.665 mg/5ml]",Syrup,120ml,1,2
9791,OPRINOL,Propranolol (HCl) [10 mg],Tabs,10x10s,100,2
9792,OPRINOL,Propranolol (HCl) [40 mg],Tabs,10x10s,100,2
